RelTime,Delta,CO2
-0.96667,-21.05,0.72
-0.66667,-20.49,0.8
-0.23333,-21.06,0.68
-0.01667,NA,NA
0.066667,8.1,0.08
0.316667,-21.76,1.46
0.8,-17.38,0.89
1.116667,-17.67,0.82
1.416667,-17.91,1.45
1.933333,-18.57,0.92
2.25,-10.95,0.86
2.566667,-1.05,0.79
2.866667,2.21,0.89
