RelTime,Delta,CO2
-0.783333333,-22.5,1.01
-0.466666667,-22.17,1.06
-0.166666667,-21.79,1
0,NA,NA
0.183333333,24.34,1.04
0.483333333,61.9,1.07
0.783333333,107.88,1.07
1.083333333,140.28,0.81
1.366666667,141.35,0.7
1.633333333,146.18,0.85
1.916666667,134.81,0.96
2.2,114.75,0.76
2.483333333,103.59,0.99
2.766666667,93.57,1.02
3.066666667,72.97,0.62
3.333333333,165.83,0.88
3.616666667,447.93,1.05
3.916666667,738.69,0.97
4.216666667,830.46,0.89
