RelTime,Delta,CO2
-0.78,-21.63,1
-0.48,-20.86,0.97
-0.13,-20.76,0.85
0,NA,NA
0.15,-23.25,1.18
0.47,-20.74,0.9
1.05,-21.14,1
1.35,-21.59,0.95
1.7,-21.98,0.87
1.98,-23.67,0.59
2.25,-22.24,0.74
2.53,-22.78,0.75
2.82,-22.35,1.1
3.133333333,-21.87,0.82
