"Season","OTU","Mean","SD","SE"
"Summer","Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Staphylothermus;NA;",1.66666666666667e-06,3.20416395751944e-06,1.30809445802324e-06
"Summer","Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermogladius;NA;",1.33333333333333e-06,2.16024689946929e-06,8.81917103688197e-07
"Summer","Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Zestosphaera;NA;",7.5e-06,9.39680796866681e-06,3.83623078902543e-06
"Summer","Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus;NA;",3.33333333333333e-07,8.16496580927726e-07,3.33333333333333e-07
"Summer","Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrodictium;NA;",1.83333333333333e-06,3.60092580688171e-06,1.47007180474666e-06
"Summer","Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrolobus;NA;",0,0,0
"Summer","Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;Fervidicoccus;NA;",6.5e-06,5.68330889535313e-06,2.32020114070598e-06
"Summer","Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus;NA;",1.08333333333333e-05,1.42325917058934e-05,5.81043123280115e-06
"Summer","Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Metallosphaera;NA;",4.83333333333333e-06,3.92003401345788e-06,1.60034718455437e-06
"Summer","Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfodiicoccus;NA;",2e-06,2.44948974278318e-06,1e-06
"Summer","Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;NA;",8.33333333333333e-07,2.04124145231932e-06,8.33333333333334e-07
