,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37
Bacteria;Proteobacteria;Alphaproteobacteria;Holosporales;NA;NA;NA;,0.000817,0.000801,0.002592,0.000827,0.000501,0.000696,0.000636,0.001960,0.001286,0.001415,0.001150,0.001447,0.000475,0.000846,0.000467,0.000188,0.001188,0.001261
Bacteria;Proteobacteria;Gammaproteobacteria;Nevskiales;NA;NA;NA;,0.000778,0.001228,0.000657,0.000658,0.000794,0.000295,0.000904,0.001375,0.000721,0.000593,0.000486,0.000743,0.000514,0.000854,0.000512,0.000381,0.001307,0.000821
Bacteria;Proteobacteria;Gammaproteobacteria;Orbales;NA;NA;NA;,0.000745,0.001760,0.000985,0.000848,0.000762,0.000542,0.000408,0.000780,0.000718,0.001419,0.000703,0.001041,0.000887,0.000968,0.001290,0.000275,0.001779,0.000971
Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;NA;NA;NA;,0.000699,0.000993,0.001095,0.000556,0.000606,0.000342,0.001000,0.000663,0.000251,0.000427,0.000559,0.000876,0.000313,0.001319,0.000432,0.000231,0.000501,0.000272
Bacteria;Chlamydiae;Chlamydiia;Parachlamydiales;NA;NA;NA;,0.000680,0.000524,0.000381,0.000468,0.000609,0.000823,0.000419,0.003532,0.000322,0.000723,0.000458,0.000873,0.000487,0.000343,0.000247,0.000272,0.000520,0.000698
Bacteria;Planctomycetes;Planctomycetia;Pirellulales;NA;NA;NA;,0.000676,0.000888,0.001134,0.001076,0.001283,0.000935,0.000654,0.004164,0.000630,0.000899,0.000975,0.000773,0.000685,0.000574,0.000601,0.000278,0.001770,0.001159
Bacteria;Fibrobacteres;Chitinispirillia;Chitinispirillales;NA;NA;NA;,0.000634,0.000144,0.000149,0.000195,0.000091,0.000113,0.000062,0.000052,0.000225,0.000251,0.000252,0.000162,0.000305,0.000172,0.000051,0.000028,0.000263,0.000119
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;NA;NA;NA;,0.000586,0.000780,0.000828,0.000760,0.000298,0.000403,0.000173,0.000638,0.000359,0.000420,0.000570,0.000900,0.000570,0.000457,0.000496,0.000044,0.001628,0.000915
Bacteria;Tenericutes;Mollicutes;Entomoplasmatales;NA;NA;NA;,0.000579,0.001145,0.000477,0.000589,0.000196,0.000363,0.000496,0.000885,0.000365,0.000479,0.000514,0.000846,0.000711,0.000410,0.000268,0.000125,0.000524,0.000325
Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;NA;NA;NA;,0.000565,0.000828,0.000591,0.000637,0.000499,0.000202,0.000835,0.000447,0.000325,0.000308,0.000650,0.000490,0.000444,0.001412,0.000365,0.000144,0.000164,0.000136
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;NA;NA;NA;,0.000535,0.000500,0.000569,0.000886,0.000631,0.000994,0.000504,0.000388,0.000456,0.000472,0.000482,0.000855,0.000406,0.000503,0.000276,0.000094,0.000315,0.000203
Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;NA;NA;NA;,0.000523,0.000843,0.000950,0.000713,0.000613,0.000340,0.000574,0.000952,0.000570,0.000481,0.000496,0.000843,0.000430,0.000637,0.000351,0.000119,0.001041,0.000649
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;NA;NA;NA;,0.000505,0.000629,0.000088,0.000259,0.000425,0.000206,0.000210,0.000885,0.000322,0.000173,0.000217,0.000605,0.000465,0.000360,0.000188,0.000156,0.000196,0.000499
Eukaryota;Ascomycota;Leotiomycetes;Helotiales;NA;NA;NA;,0.000498,0.002504,0.001493,0.000328,0.000879,0.000605,0.000842,0.000280,0.000339,0.000100,0.000479,0.001348,0.000347,0.003322,0.000531,0.000309,0.000096,0.000122
Bacteria;Aquificae;Aquificae;Desulfurobacteriales;NA;NA;NA;,0.000468,0.000406,0.000425,0.000463,0.000464,0.000253,0.000276,0.000431,0.000373,0.000192,0.000252,0.000316,0.000385,0.000402,0.000276,0.000072,0.000498,0.000248
Bacteria;Aquificae;Aquificae;Aquificales;NA;NA;NA;,0.000454,0.000629,0.000644,0.000625,0.000689,0.000940,0.000312,0.002213,0.000892,0.000632,0.000563,0.000623,0.000599,0.000457,0.000263,0.000325,0.000440,0.000726
Eukaryota;Euglenozoa;Kinetoplastea;Trypanosomatida;NA;NA;NA;,0.000451,0.000668,0.000670,0.000269,0.000411,0.000286,0.000335,0.000465,0.000182,0.000253,0.000406,0.000614,0.000141,0.000737,0.000249,0.000119,0.000315,0.000304
Eukaryota;Mucoromycota;Glomeromycetes;Diversisporales;NA;NA;NA;,0.000437,0.001108,0.000928,0.000109,0.000660,0.000218,0.000346,0.000052,0.000131,0.000037,0.000157,0.000972,0.000018,0.000595,0.000241,0.000013,0.000116,0.000014
Bacteria;Thermotogae;Thermotogae;Kosmotogales;NA;NA;NA;,0.000426,0.000752,0.000337,0.000364,0.000335,0.000427,0.000544,0.000475,0.000462,0.000573,0.000406,0.000554,0.000534,0.000318,0.000343,0.000297,0.000517,0.000255
Eukaryota;Mucoromycota;Glomeromycetes;Glomerales;NA;NA;NA;,0.000421,0.000508,0.000736,0.000463,0.000266,0.000249,0.000338,0.000046,0.000091,0.000397,0.000839,0.000515,0.000836,0.000423,0.000480,0.000044,0.000186,0.000080
Bacteria;Kiritimatiellaeota;Kiritimatiellae;Kiritimatiellales;NA;NA;NA;,0.000421,0.000728,0.000885,0.000539,0.000642,0.000370,0.000460,0.013511,0.000858,0.001599,0.001003,0.000686,0.000422,0.000360,0.000209,0.000619,0.000344,0.001879
Archaea;Euryarchaeota;Halobacteria;Haloferacales;NA;NA;NA;,0.000405,0.000149,0.000140,0.000102,0.000190,0.000091,0.000184,0.000613,0.000180,0.000128,0.000133,0.000126,0.000142,0.000247,0.000075,0.000075,0.000215,0.000182
Bacteria;NA;NA;Haloplasmatales;NA;NA;NA;,0.000377,0.000657,0.000285,0.001084,0.000193,0.002408,0.000257,0.000358,0.000262,0.001335,0.000294,0.001116,0.001045,0.000381,0.000496,0.000144,0.000206,0.000192
Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;NA;NA;NA;,0.000370,0.000283,0.000346,0.000544,0.000249,0.000556,0.000713,0.001174,0.000747,0.000306,0.000427,0.000439,0.000323,0.000369,0.000212,0.000544,0.000646,0.000492
Eukaryota;Haptista;Haptophyta;Isochrysidales;NA;NA;NA;,0.000363,0.000718,0.000701,0.000033,0.000438,0.000183,0.000224,0.000031,0.000048,0.000032,0.000101,0.000695,0.000008,0.000473,0.000161,0.000028,0.000039,0.000003
Bacteria;Calditrichaeota;Calditrichae;Calditrichales;NA;NA;NA;,0.000343,0.001058,0.000477,0.000337,0.000530,0.000345,0.000408,0.000817,0.000262,0.000265,0.000329,0.000578,0.000244,0.000561,0.000137,0.000181,0.000379,0.000154
Bacteria;Candidatus Margulisbacteria;Candidatus Termititenacia;Candidatus Termititenacales;NA;NA;NA;,0.000331,0.000175,0.000372,0.000264,0.000264,0.000173,0.000176,0.001892,0.000821,0.000392,0.000325,0.000283,0.000230,0.000230,0.000115,0.000991,0.000395,0.001219
Bacteria;Chrysiogenetes;Chrysiogenetes;Chrysiogenales;NA;NA;NA;,0.000326,0.000178,0.000328,0.000409,0.000332,0.000199,0.000754,0.001199,0.000302,0.000217,0.000441,0.000334,0.000246,0.000251,0.000333,0.000141,0.000180,0.000388
Bacteria;Planctomycetes;Planctomycetia;Isosphaerales;NA;NA;NA;,0.000326,0.000257,0.000342,0.000228,0.000352,0.000136,0.000265,0.001220,0.000821,0.000230,0.000318,0.000295,0.000302,0.000276,0.000075,0.000116,0.000295,0.000342
Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;NA;NA;NA;,0.000317,0.000246,0.000333,0.000280,0.000222,0.000164,0.000331,0.000820,0.000678,0.000176,0.000206,0.000247,0.000145,0.000251,0.000107,0.000047,0.000434,0.000360
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;NA;NA;NA;,0.000315,0.000445,0.000504,0.000449,0.000574,0.000328,0.000294,0.001020,0.000533,0.000472,0.000280,0.000406,0.000369,0.000239,0.000472,0.000091,0.000302,0.000311
Bacteria;Thermodesulfobacteria;Thermodesulfobacteria;Thermodesulfobacteriales;NA;NA;NA;,0.000312,0.000458,0.000512,0.000891,0.000247,0.000352,0.000301,0.001140,0.000499,0.000221,0.000479,0.000623,0.000566,0.000323,0.000193,0.000244,0.000870,0.000653
Eukaryota;Ciliophora;Spirotrichea;Sporadotrichida;NA;NA;NA;,0.000301,0.000959,0.000906,0.000176,0.000526,0.000267,0.000390,0.000077,0.000066,0.000062,0.000143,0.000800,0.000024,0.000616,0.000268,0.000091,0.000032,0.000021
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfurellales;NA;NA;NA;,0.000296,0.000301,0.000206,0.000269,0.000222,0.000258,0.000147,0.000635,0.000288,0.000310,0.000276,0.000346,0.000257,0.000247,0.000397,0.000084,0.000241,0.000276
Bacteria;Firmicutes;Clostridia;Natranaerobiales;NA;NA;NA;,0.000292,0.000144,0.000197,0.000340,0.000188,0.000164,0.000290,0.000216,0.000436,0.000185,0.000199,0.000235,0.000276,0.000180,0.000080,0.000225,0.000273,0.000133
Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;NA;NA;NA;,0.000289,0.000482,0.000560,0.000271,0.000425,0.000176,0.000272,0.000536,0.000456,0.000132,0.000182,0.000406,0.000107,0.000771,0.000145,0.000075,0.000148,0.000213
Eukaryota;Evosea;Eumycetozoa;Dictyosteliales;NA;NA;NA;,0.000287,0.000411,0.000560,0.000169,0.000267,0.000108,0.000228,0.000188,0.000157,0.000098,0.000143,0.000385,0.000053,0.000670,0.000134,0.000156,0.000087,0.000091
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;NA;NA;NA;,0.000282,0.000414,0.000407,0.000097,0.000254,0.000108,0.000268,0.000059,0.000077,0.000078,0.000105,0.000361,0.000077,0.000507,0.000075,0.000072,0.000074,0.000070
Bacteria;Proteobacteria;Oligoflexia;Bacteriovoracales;NA;NA;NA;,0.000282,0.000220,0.000241,0.000288,0.000276,0.000108,0.000151,0.000280,0.000328,0.000226,0.000206,0.000292,0.000252,0.000343,0.000078,0.000034,0.000662,0.000332
Eukaryota;Apicomplexa;Aconoidasida;Haemosporida;NA;NA;NA;,0.000278,0.001241,0.001195,0.000097,0.000498,0.000270,0.000474,0.000102,0.000105,0.000048,0.000175,0.001011,0.000035,0.000934,0.000410,0.000069,0.000051,0.000049
Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;NA;NA;NA;,0.000278,0.000469,0.000836,0.000114,0.000399,0.000155,0.000294,0.000265,0.000103,0.000274,0.000108,0.000409,0.000094,0.000653,0.000115,0.000044,0.000103,0.000168
Eukaryota;Ascomycota;Dothideomycetes;Capnodiales;NA;NA;NA;,0.000275,0.000107,0.000118,0.000135,0.000102,0.000075,0.000254,0.000188,0.000111,0.000068,0.000259,0.000196,0.000101,0.000151,0.000091,0.000025,0.000183,0.000045
Bacteria;Armatimonadetes;Armatimonadia;Capsulimonadales;NA;NA;NA;,0.000271,0.000081,0.000053,0.000145,0.000090,0.000068,0.000022,0.000148,0.000168,0.000037,0.000098,0.000051,0.000088,0.000276,0.000059,0.000003,0.000058,0.000052
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;NA;NA;NA;,0.000266,0.000393,0.000596,0.000216,0.000279,0.000176,0.000221,0.000807,0.000205,0.000153,0.000304,0.000427,0.000058,0.000431,0.000121,0.000072,0.000119,0.000154
Eukaryota;Chytridiomycota;Chytridiomycetes;Synchytriales;NA;NA;NA;,0.000259,0.000199,0.000105,0.000048,0.000066,0.000040,0.000062,0.000302,0.000040,0.000050,0.000035,0.000084,0.000097,0.000256,0.000038,0.000041,0.000006,0.000035
Archaea;Euryarchaeota;Methanococci;Methanococcales;NA;NA;NA;,0.000252,0.000147,0.000223,0.000154,0.000129,0.000155,0.000173,0.000663,0.000114,0.000219,0.000395,0.000223,0.000184,0.000427,0.000225,0.000063,0.000199,0.000108
Eukaryota;Apicomplexa;Conoidasida;Eugregarinorida;NA;NA;NA;,0.000252,0.000134,0.000162,0.000378,0.000098,0.000021,0.000048,0.000022,0.000023,0.000192,0.000451,0.000590,0.000101,0.000302,0.000432,0.000006,0.000707,0.000223
Bacteria;Elusimicrobia;Endomicrobia;Endomicrobiales;NA;NA;NA;,0.000252,0.000519,0.000346,0.000421,0.000372,0.000164,0.000085,0.000049,0.000120,0.000256,0.000157,0.000536,0.000227,0.000180,0.000075,0.000022,0.000173,0.000157
Bacteria;Actinobacteria;Actinobacteria;Frankiales;NA;NA;NA;,0.000248,0.000183,0.000184,0.000266,0.000284,0.000218,0.000158,0.001026,0.000299,0.000527,0.000290,0.000298,0.000377,0.000201,0.000209,0.000134,0.000202,0.000297
Bacteria;Cyanobacteria;NA;Pleurocapsales;NA;NA;NA;,0.000245,0.000139,0.000201,0.000157,0.000242,0.000115,0.000279,0.000299,0.000137,0.000157,0.000164,0.000250,0.000211,0.000155,0.000094,0.000131,0.000141,0.000115
Bacteria;Proteobacteria;Hydrogenophilalia;Hydrogenophilales;NA;NA;NA;,0.000241,0.000445,0.000315,0.000266,0.000388,0.000202,0.000743,0.001088,0.000807,0.000465,0.000245,0.000217,0.000195,0.000138,0.000198,0.000688,0.000829,0.000531
Eukaryota;Fornicata;NA;Diplomonadida;NA;NA;NA;,0.000236,0.000982,0.000477,0.008076,0.000205,0.001972,0.024625,0.000321,0.000328,0.001816,0.000402,0.002221,0.000121,0.000540,0.000225,0.000194,0.008704,0.000196
Eukaryota;NA;Oomycota;Saprolegniales;NA;NA;NA;,0.000231,0.000233,0.000473,0.000188,0.000349,0.000131,0.000287,0.000308,0.000125,0.000096,0.000091,0.000439,0.000182,0.000369,0.000145,0.000072,0.000090,0.000094
Bacteria;Candidatus Cryosericota;Candidatus Cryosericia;Candidatus Cryosericales;NA;NA;NA;,0.000227,0.000296,0.000140,0.000266,0.000217,0.000244,0.000217,0.000179,0.000450,0.000144,0.000161,0.000283,0.000243,0.000168,0.000185,0.000056,0.000161,0.000398
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfarculales;NA;NA;NA;,0.000222,0.000293,0.000416,0.000335,0.000457,0.000363,0.000239,0.000958,0.000559,0.000269,0.000234,0.000352,0.000262,0.000264,0.000308,0.000225,0.000170,0.000300
Bacteria;Armatimonadetes;Chthonomonadetes;Chthonomonadales;NA;NA;NA;,0.000220,0.000065,0.000105,0.000219,0.000049,0.000061,0.000320,0.000783,0.000587,0.000262,0.000346,0.000030,0.000147,0.000059,0.000040,0.000409,0.000318,0.000262
Archaea;Euryarchaeota;Thermococci;Thermococcales;NA;NA;NA;,0.000218,0.000581,0.000193,0.000150,0.000061,0.000164,0.000121,0.000083,0.000077,0.000080,0.000164,0.000256,0.000121,0.000109,0.000279,0.000009,0.000045,0.000087
Bacteria;Actinobacteria;Actinobacteria;Candidatus Actinomarinales;NA;NA;NA;,0.000218,0.000039,0.000004,0.000036,0.000022,0.000030,0,0.000435,0.000051,0.000055,0.000028,0.000006,0.000018,0.000168,0.000048,0.000022,0.000006,0.000059
Bacteria;Candidatus Fermentibacteria;Candidatus Fermentibacteria (class);Candidatus Fermentibacterales;NA;NA;NA;,0.000218,0.000034,0.000201,0.000017,0.000052,0.000012,0.000029,0.000801,0.000043,0.000078,0.000063,0.000042,0.000051,0.000147,0.000030,0.000072,0.000032,0.000140
Eukaryota;Ascomycota;Dothideomycetes;Pleosporales;NA;NA;NA;,0.000213,0.000288,0.000346,0.000349,0.000711,0.000227,0.000162,0.000219,0.000086,0.000160,0.000203,0.000238,0.000123,0.000147,0.000105,0.000025,0.000135,0.000077
Bacteria;Planctomycetes;Planctomycetia;Gemmatales;NA;NA;NA;,0.000201,0.000220,0.000149,0.000185,0.000144,0.000157,0.000129,0.000364,0.000966,0.000285,0.000213,0.000268,0.000157,0.000134,0.000182,0.000228,0.000196,0.000234
Eukaryota;Apicomplexa;Aconoidasida;Piroplasmida;NA;NA;NA;,0.000199,0.000500,0.000582,0.000057,0.000300,0.000129,0.000173,0.000034,0.000037,0.000046,0.000091,0.000316,0.000016,0.000469,0.000148,0.000050,0.000035,0.000021
Eukaryota;NA;Bigyra;Opalinata;NA;NA;NA;,0.000192,0.000435,0.000596,0.000107,0.000313,0.000171,0.000228,0.000129,0.000077,0.000064,0.000171,0.000331,0.000018,0.000364,0.000174,0.000044,0.000093,0.000035
Bacteria;Lentisphaerae;Lentisphaeria;Lentisphaerales;NA;NA;NA;,0.000190,0.000403,0.000188,0.000216,0.000171,0.000309,0.000680,0.006749,0.000180,0.000669,0.000528,0.000114,0.000179,0.000172,0.000169,0.000344,0.000238,0.001215
Bacteria;Proteobacteria;Alphaproteobacteria;Kordiimonadales;NA;NA;NA;,0.000190,0.000089,0.000346,0.000159,0.000100,0.000077,0.000092,0.000456,0.000134,0.000146,0.000189,0.000150,0.000077,0.000197,0.000161,0.000025,0.000401,0.000300
Bacteria;Planctomycetes;Phycisphaerae;Sedimentisphaerales;NA;NA;NA;,0.000185,0.000414,0.000644,0.000280,0.000359,0.000279,0.000180,0.003051,0.000342,0.000525,0.000416,0.000126,0.000351,0.000226,0.000142,0.000641,0.000257,0.000555
Bacteria;Proteobacteria;Acidithiobacillia;Acidithiobacillales;NA;NA;NA;,0.000183,0.000160,0.000359,0.000347,0.000159,0.000096,0.000467,0.001020,0.000359,0.000169,0.000455,0.000322,0.000182,0.000138,0.000142,0.000306,0.000389,0.000677
Bacteria;Proteobacteria;Alphaproteobacteria;Magnetococcales;NA;NA;NA;,0.000183,0.000249,0.000232,0.000273,0.000193,0.000155,0.000279,0.000545,0.000428,0.000294,0.000238,0.000277,0.000150,0.000268,0.000174,0.000059,0.000482,0.000670
Bacteria;Proteobacteria;Zetaproteobacteria;Mariprofundales;NA;NA;NA;,0.000181,0.000199,0.000193,0.000181,0.000130,0.000105,0.000147,0.000046,0.000131,0.000121,0.000133,0.000156,0.000088,0.000105,0.000094,0.000044,0.000222,0.000122
Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;NA;NA;NA;,0.000176,0.000293,0.000293,0.000195,0.000239,0.000094,0.000121,0.000071,0.000046,0.000107,0.000105,0.000367,0.000075,0.000364,0.000215,0.000022,0.000090,0.000045
Bacteria;Actinobacteria;Actinobacteria;Glycomycetales;NA;NA;NA;,0.000176,0.000168,0.000123,0.000235,0.000325,0.000084,0.000180,0.000410,0.000125,0.000094,0.000126,0.000355,0.000168,0.000348,0.000067,0.000016,0.000125,0.000129
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;NA;NA;NA;,0.000174,0.000246,0.000162,0.000342,0.000124,0.000253,0.000151,0.000228,0.000234,0.000082,0.000150,0.000304,0.000197,0.000377,0.000233,0.000047,0.000273,0.000140
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;NA;NA;NA;,0.000174,0.000160,0.000088,0.000126,0.000061,0.000059,0.000114,0.000092,0.000080,0.000167,0.000192,0.000111,0.000094,0.000029,0.000080,0.000006,0.000029,0.000017
Bacteria;Rhodothermaeota;Rhodothermia;Rhodothermales;NA;NA;NA;,0.000171,0.000175,0.000171,0.000542,0.000144,0.000117,0.000092,0.000191,0.000237,0.000116,0.000318,0.000175,0.000265,0.000239,0.000102,0.000009,0.000392,0.000339
Bacteria;Dictyoglomi;Dictyoglomia;Dictyoglomales;NA;NA;NA;,0.000169,0.000228,0.000096,0.000235,0.000185,0.000256,0.000320,0.000102,0.000282,0.000308,0.000154,0.000502,0.000292,0.000239,0.000091,0.000034,0.000196,0.000140
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;NA;NA;NA;,0.000167,0.000270,0.000127,0.000392,0.000140,0.000239,0.000287,0.000407,0.000459,0.000112,0.000238,0.000199,0.000276,0.000260,0.000083,0.000053,0.000369,0.000262
Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;NA;NA;NA;,0.000164,0.000335,0.000232,0.000192,0.000322,0.000113,0.000114,0.000398,0.000094,0.000107,0.000084,0.000289,0.000201,0.000377,0.000249,0.000028,0.000189,0.000084
Bacteria;Bacteroidetes;NA;Bacteroidetes Order II. Incertae sedis;NA;NA;NA;,0.000160,0.000259,0.000171,0.000354,0.000279,0.000131,0.000210,0.000388,0.000385,0.000486,0.000336,0.000165,0.000292,0.000289,0.000198,0.000416,0.000279,0.000416
Bacteria;Actinobacteria;Actinobacteria;Geodermatophilales;NA;NA;NA;,0.000157,0.000134,0.000285,0.000252,0.000212,0.000206,0.000132,0.000327,0.000219,0.000228,0.000234,0.000135,0.000147,0.000109,0.000392,0.000050,0.000241,0.000115
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;NA;NA;NA;,0.000150,0.000086,0.000731,0.000223,0.000039,0.000030,0.000074,0.000203,0.000051,0.000059,0.000140,0.000036,0.000064,0.000013,0.000011,0.000016,0.000084,0.000059
Eukaryota;NA;Dinophyceae;Suessiales;NA;NA;NA;,0.000143,0.000348,0.000140,0.000159,0.000049,0.000059,0.000099,0.000055,0.000040,0.000014,0.000056,0.000232,0.000018,0.000147,0.000099,0,0.000039,0.000024
Eukaryota;Discosea;NA;Longamoebia;NA;NA;NA;,0.000143,0.000194,0.000158,0.000067,0.000154,0.000066,0.000085,0.000086,0.000031,0.000002,0.000066,0.000144,0.000016,0.000339,0.000059,0.000022,0.000055,0.000038
Bacteria;Proteobacteria;Epsilonproteobacteria;Nautiliales;NA;NA;NA;,0.000141,0.000157,0.000363,0.000316,0.000076,0.000171,0.000074,0.000542,0.000134,0.000123,0.000168,0.000223,0.000126,0.000176,0.000190,0.000106,0.000331,0.000223
Bacteria;Chloroflexi;Caldilineae;Caldilineales;NA;NA;NA;,0.000141,0.000073,0.000109,0.000316,0.000063,0.000115,0.000224,0.000055,0.000100,0.000203,0.000136,0.000117,0.000142,0.000130,0.000059,0.000025,0.000096,0.000024
Eukaryota;Ascomycota;Eurotiomycetes;Chaetothyriales;NA;NA;NA;,0.000139,0.000194,0.000158,0.000147,0.000159,0.000042,0.000125,0.000527,0.000103,0.000073,0.000189,0.000178,0.000105,0.000113,0.000067,0.000034,0.000450,0.000272
Eukaryota;Rhodophyta;Bangiophyceae;Cyanidiales;NA;NA;NA;,0.000137,0.000304,0.000482,0.000076,0.000168,0.000117,0.000195,0.000194,0.000034,0.000548,0.000105,0.000292,0.000225,0.000423,0.000113,0.000041,0.000035,0.000056
Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales;NA;NA;NA;,0.000137,0.000168,0.000166,0.000200,0.000178,0.000101,0.000121,0.000361,0.000322,0.000144,0.000220,0.000217,0.000228,0.000343,0.000115,0.000044,0.000106,0.000342
Eukaryota;NA;Choanoflagellata;Craspedida;NA;NA;NA;,0.000137,0.000401,0.000429,0.000278,0.000225,0.000063,0.000206,0.000105,0.000060,0.000068,0.000178,0.000292,0.000029,0.000515,0.000105,0.000047,0.000087,0.000035
Bacteria;Proteobacteria;Alphaproteobacteria;Parvularculales;NA;NA;NA;,0.000132,0.000139,0.000276,0.000304,0.000159,0.000101,0.000118,0.000539,0.000217,0.000208,0.000199,0.000220,0.000125,0.000260,0.000215,0.000047,0.000373,0.000384
Eukaryota;Zoopagomycota;Basidiobolomycetes;Basidiobolales;NA;NA;NA;,0.000132,0.000204,0.000184,0.000007,0.000025,0.000059,0.000055,0.000077,0.000011,0.000023,0.000024,0.000096,0.000016,0.000109,0.000024,0.000013,0.000003,0.000017
Bacteria;Proteobacteria;Deltaproteobacteria;Bradymonadales;NA;NA;NA;,0.000132,0.000141,0.000276,0.000252,0.000227,0.000110,0.000136,0.000505,0.000208,0.000096,0.000231,0.000253,0.000102,0.000197,0.000142,0.000072,0.000177,0.000161
Bacteria;Actinobacteria;Actinobacteria;Nakamurellales;NA;NA;NA;,0.000130,0.000079,0.000053,0.000038,0.000112,0.000814,0.000070,0.000062,0.000048,0.000037,0.000042,0.000087,0.000026,0.000092,0.000021,0.000016,0.000077,0.000024
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;NA;NA;NA;,0.000127,0.000126,0.000241,0.000171,0.000071,0.000120,0.000261,0.000077,0.000530,0.000103,0.000154,0.000150,0.000166,0.000176,0.000072,0.000063,0.000218,0.000203
Archaea;Euryarchaeota;Candidatus Poseidoniia;Candidatus Poseidoniales;NA;NA;NA;,0.000125,0.000065,0.000079,0.000048,0.000076,0.000056,0.000092,0.000077,0.000222,0.000041,0.000147,0.000039,0.000094,0.000113,0.000182,0.000047,0.000042,0.000227
Eukaryota;Evosea;Variosea;Cavosteliida;NA;NA;NA;,0.000125,0.000175,0.000254,0.000095,0.000166,0.000054,0.000261,0.000737,0.000031,0.000075,0.000059,0.000178,0.000008,0.000323,0.000048,0.000050,0.000080,0.000136
Eukaryota;Ciliophora;Heterotrichea;Heterotrichida;NA;NA;NA;,0.000123,0.000160,0.000232,0.000059,0.000102,0.000035,0.000107,0.000037,0.000029,0.000021,0.000056,0.000165,0.000003,0.000318,0.000051,0.000028,0.000035,0.000038
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;NA;NA;NA;,0.000123,0.000254,0.000219,0.000109,0.000207,0.000075,0.000147,0.000028,0.000054,0.000043,0.000108,0.000223,0.000062,0.000507,0.000089,0.000038,0.000032,0.000045
Bacteria;Fibrobacteres;Chitinivibrionia;Chitinivibrionales;NA;NA;NA;,0.000120,0.000076,0.000035,0.000059,0.000044,0.000019,0.000026,0.000348,0.000051,0.000089,0.000063,0.000039,0.000035,0.000067,0.000005,0.000072,0.000064,0.000161
Bacteria;Firmicutes;Limnochordia;Limnochordales;NA;NA;NA;,0.000120,0.000113,0.000101,0.000093,0.000078,0.000108,0.000074,0.000570,0.000131,0.000096,0.000052,0.000069,0.000070,0.000138,0.000107,0.000109,0.000222,0.000234
Bacteria;Proteobacteria;Gammaproteobacteria;Acidiferrobacterales;NA;NA;NA;,0.000120,0.000120,0.000079,0.000067,0.000125,0.000080,0.000169,0.000321,0.000083,0.000034,0.000245,0.000238,0.000067,0.000067,0.000131,0.000059,0.000270,0.000122
Bacteria;Actinobacteria;Nitriliruptoria;Egibacterales;NA;NA;NA;,0.000120,0.000008,0.000031,0.000038,0.000139,0.000019,0.000022,0.000022,0.000014,0.000041,0.000098,0.000060,0.000058,0.000067,0.000016,0.000006,0.000029,0.000010
Bacteria;Proteobacteria;Alphaproteobacteria;Emcibacterales;NA;NA;NA;,0.000120,0.000065,0.000328,0.000185,0.000091,0.000040,0.000026,0.000092,0.000031,0.000098,0.000115,0.000150,0.000038,0.000180,0.000056,0.000150,0.000401,0.000391
Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;NA;NA;NA;,0.000118,0.000084,0.000193,0.000216,0.000244,0.000195,0.000118,0.001023,0.000841,0.000167,0.000199,0.000172,0.000131,0.000222,0.000035,0.000084,0.000151,0.000328
Bacteria;Acidobacteria;Holophagae;Holophagales;NA;NA;NA;,0.000113,0.000115,0.000263,0.000143,0.000078,0.000166,0.000070,0.000475,0.000128,0.000365,0.000129,0.000123,0.000109,0.000084,0.000046,0.000044,0.000180,0.000199
Eukaryota;Ascomycota;Sordariomycetes;Diaporthales;NA;NA;NA;,0.000111,0.000196,0.000083,0.000029,0.000036,0.000042,0.000015,0.000049,0.000020,0.000027,0.000028,0.000102,0.000018,0.000038,0.000003,0.000006,0.000022,0
