,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;NA;NA;NA;,0.025825,0.024488,0.022100,0.042884,0.030720,0.026998,0.046684,0.025293,0.031385,0.015912,0.023432,0.023349,0.028681,0.032643,0.031871,0.004894,0.015613,0.029058
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;NA;NA;NA;,0.022839,0.011288,0.041055,0.011652,0.035834,0.107608,0.048790,0.010445,0.014001,0.007965,0.018425,0.010754,0.019938,0.010987,0.058403,0.007572,0.010243,0.067056
Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;NA;NA;NA;,0.022316,0.026733,0.022358,0.028825,0.029066,0.012390,0.015779,0.030169,0.026118,0.028733,0.027187,0.023963,0.017556,0.028186,0.014506,0.022432,0.051727,0.031241
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;NA;NA;NA;,0.021729,0.019834,0.024026,0.022580,0.018102,0.018999,0.013379,0.014547,0.015346,0.022105,0.017170,0.024430,0.025252,0.023897,0.023292,0.007375,0.011495,0.008454
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;NA;NA;NA;,0.020222,0.023153,0.184916,0.023141,0.016763,0.021273,0.015136,0.397563,0.014751,0.419499,0.016125,0.036875,0.021665,0.015708,0.015611,0.005775,0.025493,0.010849
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales;NA;NA;NA;,0.020064,0.015597,0.004374,0.050868,0.058117,0.000209,0.000379,0.001680,0.014867,0.022481,0.000538,0.000466,0.008637,0.029987,0.000697,0.000244,0.005968,0.033744
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;NA;NA;NA;,0.019280,0.036709,0.002259,0.034418,0.003428,0.005019,0.006187,0.038364,0.002907,0.003270,0.005115,0.017617,0.029657,0.003690,0.002360,0.000241,0.020533,0.004494
Bacteria;Synergistetes;Synergistia;Synergistales;NA;NA;NA;,0.018592,0.010233,0.015685,0.012772,0.012858,0.014434,0.013901,0.018106,0.011846,0.011456,0.011006,0.016366,0.016667,0.012931,0.012160,0.004297,0.011595,0.009107
Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;NA;NA;NA;,0.018120,0.018831,0.015930,0.017985,0.013185,0.022527,0.014721,0.010932,0.017045,0.014329,0.018376,0.016149,0.019241,0.016143,0.019819,0.004988,0.013615,0.014452
Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;NA;NA;NA;,0.017225,0.021882,0.014165,0.018740,0.017936,0.011033,0.010210,0.016867,0.009959,0.015577,0.019366,0.020593,0.015685,0.011976,0.009389,0.010072,0.014521,0.009285
Eukaryota;Preaxostyla;NA;Oxymonadida;NA;NA;NA;,0.017178,0.047620,0.047011,0.004458,0.028672,0.008550,0.016614,0.003760,0.005173,0.001371,0.006933,0.031377,0.001374,0.064230,0.014487,0.003250,0.002046,0.001973
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;NA;NA;NA;,0.013088,0.010974,0.015694,0.014554,0.010708,0.010304,0.009949,0.031426,0.014828,0.012385,0.013009,0.015451,0.010478,0.014786,0.009851,0.005144,0.023052,0.024833
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;NA;NA;NA;,0.012105,0.001440,0.001252,0.001259,0.000679,0.004229,0.001548,0.000505,0.003876,0.002551,0.000881,0.024126,0.018535,0.002212,0.000697,0.000147,0.000777,0.000552
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;NA;NA;NA;,0.011825,0.014408,0.013447,0.015283,0.009149,0.014336,0.010364,0.010257,0.012559,0.009626,0.011929,0.013570,0.012945,0.010765,0.014402,0.003619,0.009115,0.008778
