,Length,Sample
>NODE_109210_length_1048_cov_2.046170_1 ,543,I-P01
>NODE_152354_length_638_cov_3.034991_1 ,636,I-P07
>NODE_216654_length_530_cov_0.714943_1 ,528,I-S07
>NODE_420_length_72740_cov_19.320339_30 ,1968,I-S34
>NODE_135674_length_534_cov_1.558087_1 ,531,I-W33
>NODE_6360_length_8624_cov_2.089459_4 ,1968,S-P03
>NODE_28670_length_1921_cov_1.430449_1 ,528,S-P09
>NODE_138239_length_1010_cov_0.893989_1 ,858,S-S05
>NODE_78871_length_783_cov_1.043605_1 ,456,S-W36
