CE12,4.2.2.-:36,4.2.2.23:1|4.2.2.24:1,3.1.1.-:101,3.1.1.11:2,3.1.1.-:262,3.1.1.86:2,1.1.1.-:286,1.1.1.40:6|1.1.1.38:3|1.1.1.169:1|1.1.1.39:1,,,,,,,,,
GH10,3.2.1.-:220,3.2.1.8:8|3.2.1.4:2,3.2.1.-:333,3.2.1.8:2,3.2.1.-:74,3.2.1.4:5|3.2.1.8:3|3.2.1.78:3|3.2.1.91:1,3.2.1.-:339,3.2.1.55:2,3.2.1.-:103,3.2.1.8:41|3.2.1.91:1|3.2.1.4:1|3.1.1.73:1,,,,,,,
GH109,1.1.1.-:154,1.1.1.292:2|1.1.1.371:1|1.1.1.361:1,1.1.1.-:272,1.1.1.18:39|1.1.1.369:7,,,,,,,,,,,,,
GH20,3.2.1.-:163,3.2.1.52:5,3.2.1.-:229,3.2.1.52:4,,,,,,,,,,,,,
GH23,4.2.2.-:14,4.2.2.N1:2,4.2.2.-:20,4.2.2.N1:47,,,,,,,,,,,,,
GH3,3.2.1.-:32,3.2.1.21:29,3.2.1.-:154,3.2.1.21:3,3.2.1.-:57,3.2.1.21:9,3.2.1.-:156,3.2.1.37:23|3.2.1.55:6,3.2.1.-:153,3.2.1.21:20,3.2.1.-:90,3.2.1.52:12|3.2.1.21:1,1.5.1.-:7,1.5.1.6:8,3.2.1.-:56,3.6.1.-:54,3.6.1.3:3
GH31,3.2.1.-:326,3.2.1.177:3,3.2.1.-:209,3.2.1.84:9|3.2.1.20:4,3.2.1.-:117,3.2.1.20:2|3.2.1.177:2,,,,,,,,,,,
GH33,3.2.1.-:292,3.2.1.18:3,,,,,,,,,,,,,,,
GH42,3.2.1.-:141,3.2.1.23:7,3.2.1.-:140,3.2.1.23:4,3.2.1.-:135,3.2.1.23:2,3.2.1.-:137,3.2.1.23:6,3.2.1.-:142,3.2.1.23:3,3.2.1.-:136,,,,,,
GH43,3.2.1.-:325,3.2.1.37:2|3.2.1.55:1,,,,,,,,,,,,,,,
GH51,3.2.1.-:245,3.2.1.55:2,3.2.1.-:80,3.2.1.55:6,3.2.1.-:128,,,,,,,,,,,,
GH84,3.2.1.-:293,3.2.1.169:3|3.2.1.35:1,,,,,,,,,,,,,,,
GH9,3.2.1.-:158,3.2.1.91:2|3.2.1.176:1,3.2.1.-:223,3.2.1.4:3|3.2.1.151:1,3.2.1.-:224,3.2.1.4:14|3.2.1.91:3,3.2.1.-:39,3.2.1.73:9,,,,,,,,,
GH94,2.4.1.-:141,2.4.1.280:2|2.4.1.20:1,,,,,,,,,,,,,,,
GT3,2.4.1.-:72,2.4.1.11:16,2.4.1.-:88,2.4.1.1:5,,,,,,,,,,,,,
PL11,4.2.2.-:36,4.2.2.23:1|4.2.2.24:1,,,,,,,,,,,,,,,
