Protein,Domain,Phylum,Class,Order,Family,Genus,Species
Exo1,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
Exo2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Unclassified,Unclassified
Exo3,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,Unclassified
Exo4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,sp. H5
Exo5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,DSM 108610
Exo6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis
Exo7,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus
Exo8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,denticola
Exo9,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,distasonis
Exo10,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,candidum
Exo11,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus,castenholzii
Exo12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Asaia,bogorensis
Exo13,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,aeruginosa
Exo14,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Unclassified,Unclassified
Exo15,Bacteria,Terrabacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
Exo16,Non-bacterial cellular organism,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
Exo17,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
Exo18,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,sp. TLL-A4
Exo19,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,mizutaii
Exo20,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,sp. APR13
Exo21,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Unclassified
Exo22,Bacteria,Actinobacteria,Actinobacteria,Cornebacteriales,Mycobacteriaceae,Mycobacterium,colombiense
Exo23,Bacteria,Actinobacteria,Actinobacteria,Unclassified,Unclassified,Unclassified,Unclassified
Exo24,Bacteria,Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
Exo25,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis
Exo26,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,dentalis
Exo27,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Unclassified
Exo28,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,distasonis
Exo29,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,foraminis
Exo30,Bacteria,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
Exo31,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,sp. YN
Exo32,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unclassified,Rubrivivax,gelatinosus
Exo33,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,oris
Exo34,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,fibrisolvens
Exo35,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Unclassified
Exo36,Bacteria,Bacteroidetes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
Exo37,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,thalpophilum
Exo38,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,deserti
Exo39,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,vulgatus
Exo40,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Aquiflexum,balticum
Exo41,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,pasteurianum
Exo42,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,thetaiotaomicron
Exo43,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Unclassified,Unclassified,Unclassified
