RelTime,Delta,CO2
-1.05,-22.01,1.1
-0.68,-21.6,0.87
-0.366666667,-20.81,0.74
0,NA,NA
0.433333333,43.44,0.95
0.766666667,259,0.98
1.1,359.14,0.9
1.416666667,364.08,0.6
1.733333333,350.37,0.98
