RelTime,Delta,CO2
-0.72,-20.75,0.96
-0.40,-21.24,0.83
-0.10,-21.3,1.13
0.00,NA,NA
0.25,11.34,1.51
0.7,276.23,1.33
1.083333333,355.93,0.75
1.383333333,378.96,0.86
1.716666667,344.6,0.95
2.033333333,319.61,0.94
