RelTime,Delta,CO2
-0.77,-25.01,1.07
-0.45,-25.08,0.91
-0.13,-25.26,0.87
0.00,NA,NA
0.17,-23.07,0.89
0.48,52.95,1.1
0.80,158.61,1.05
1.13,212.6,0.76
1.42,245.64,0.89
1.92,382.54,0.77
,,
