KO	P01	P07	P11	S07	S29	S34	W31	W32	W33	P03	P09	P12	S05	S08	S32	W20	W36	W37
K00001	0.05271635249754513	0.2500075977124691	0.061646195704769285	0.07049780200273885	0.08049601013615035	0.08854394097335623	0.08151446957590901	0.06744438633152675	0.06525666957651269	0.08086401327804635	0.05120429010260297	0.06421752720928545	0.039287876383349254	0.07249151155101967	0.09907016521206322	0.10897415650347378	0.060542312898085815	0.054246135438830896
K00002	0.07449781986422199	0.04570204113851978	0.11496513562118384	0.08122359090319865	0.08621869401907994	0.10196158788775701	0.052834131082060184	0.07588278175639687	0.03926768803997338	0.10413056654639051	0.050370853967851535	0.10876248004932813	0.0911116900362326	0.11706920801049152	0.05476341440532469	0.06747907728886746	0.060162215065006554	0.021037554897415767
K00003	0.689120140352039	0.5411726022591767	0.6394580070968412	0.6869715356062713	0.6350200800793957	0.6886119925394769	0.7801693549690238	0.7311205245398582	0.6569376223374629	0.6675998138090555	0.5928502035611798	0.6960570618297803	0.6710569952301012	0.5983556976596809	0.7430933402446684	0.7916279059796396	0.669852209427382	0.7148294836245402
K00004	0.11444374428840823	0.06869770208203148	0.08111596096256206	0.1132052824742279	0.12019507980842757	0.1745030083078078	0.11735884805710925	0.09189431893842878	0.08808552172498472	0.11234549413311877	0.05699624059373681	0.11681332985931163	0.12389626723770568	0.08997780081119888	0.08477160324877224	0.24924026820795012	0.12019306289741034	0.08913876871125102
K00005	0.09223704296954831	0.02207545945560337	0.05436108177706203	0.09165729949559846	0.09166223947566676	0.1391916126431123	0.12853691440132986	0.11754234109432499	0.08265931773511137	0.09590130910678443	0.06088356269854695	0.07854356889290533	0.08913019068288533	0.12395655616993115	0.07371886007691597	0.24982961329344697	0.13862682900607987	0.10316909167667437
K00006	0.015058436825390115	0.06869770208203148	0.005069748860917546	0.0029790853301507408	0.0	0.0040582065917450045	0.0	0.0	0.004893636680024593	0.0	0.008142320084819544	0.006871387983840516	0.004062179098885278	0.017995522113319708	0.005298227711968666	0.0	0.0	0.0
K00008	0.48432405311515486	0.19841660139536718	0.43776151571178223	0.49966813104818875	0.5414878154958714	0.6176548517190225	0.5784354396036049	0.5154052170226253	0.4667036093252861	0.4687695929669629	0.3506055911875178	0.4943094238387452	0.41950860776411414	0.3664789997924919	0.4368528263877967	1.0679614099779664	0.525933747879392	0.4201289066969826
K00009	0.11848134281989407	0.08930902908583091	0.07223895231156632	0.05760054260455896	0.07835304405529184	0.18502084692488546	0.08150650146014937	0.06379649329356281	0.04750468722936145	0.04218962658511964	0.043322720482722024	0.12579502551004845	0.08605504231248104	0.03421203016078025	0.07148445111669703	0.05135346354560473	0.08995565454549406	0.024987617274926453
K00010	0.24613020091648746	0.09464017669695476	0.2877288040328923	0.24287195543749157	0.19303718049622615	0.30067414887881844	0.270889267220548	0.3415795373842003	0.23917823548931105	0.36661020139523237	0.22326859294982188	0.2866290965842066	0.233240366416647	0.19826336393483696	0.31305146793919053	0.34315078465672166	0.23849124112861553	0.16340525848669285
K00011	0.09336228745161003	0.022899234027343833	0.050697488609175466	0.0655397375135672	0.08741447913397829	0.060872994823864615	0.1061817146555738	0.05251103939338788	0.10766045784718264	0.048845741529056186	0.04478276046650749	0.061842471403335625	0.05890159693383653	0.08997780081119888	0.06357865225817114	0.07870730552253737	0.031354779698561215	0.07003756863275801
K00012	1.4149839136993843	0.9019543370986279	1.3530484503988636	1.2612141603582745	1.481393263322153	1.3217203204676071	1.1796731302933534	1.3135809073682514	1.3200535764044377	1.424082227819921	1.5108455450988694	1.3112264701629226	1.230828547567678	1.170237505959449	1.370403800561052	1.6054748456508452	1.3131478992664107	1.496462394320298
K00013	0.666642699963681	0.8197110559410667	0.6089316796628597	0.5770866415898271	0.5947574493225304	0.7032216894164666	0.5879908130446175	0.7363038099172492	0.4683293841616432	0.6213737151323357	0.6068060097995527	0.6695771241186463	0.6061976705501587	0.6116462822260664	0.5613801652327159	0.9070646932840973	0.6347399581834792	0.5949659177015414
K00014	0.7979972143833365	0.36078173483945114	0.7749568843331014	0.7155327956037667	0.8679149011877124	0.7942157272776365	0.7473353338525102	0.8268626788756627	0.7541451202399121	0.8043311124191391	0.7045394436807297	0.7101894473911238	0.7497649814530533	0.7636674343993684	0.7510795523731376	1.1562515722231743	0.8853847264647067	0.7310921606847435
K00015	0.04517531047617035	0.045798468054687666	0.10139487315775755	0.06256067214766634	0.0764876823960162	0.04869845829047797	0.06706227407970623	0.07876655909008182	0.0734045502003689	0.06349943191929641	0.0732808807633759	0.030921235701667812	0.044683970087738056	0.07648118300678414	0.03708756387673584	0.14429625940473667	0.08361274586282991	0.07003756863275801
K00016	0.5468296509831599	0.26667517965024345	0.4143719763001899	0.5312836374626494	0.40476503876078956	0.5328191478723721	0.4723023160743242	0.6016959861116398	0.4118151365140489	0.43563631037723893	0.4773424683964874	0.4534718304123981	0.47268677107713414	0.5439688358373372	0.3808804739450959	0.5941920903219381	0.3940345105485159	0.35045831137634476
K00018	0.4514181089817435	0.24255209301743758	0.45985250696394225	0.4980186199836717	0.5049079935196983	0.5125981413869122	0.5749496221308503	0.5107774810239154	0.5098140653047811	0.592785398343435	0.46019112836108783	0.4388243892685406	0.44761084858412437	0.5441029353194711	0.3924665310904552	0.6219812791554641	0.5140265898194084	0.45268677124252216
K00019	0.0355706938334211	0.10968320188731706	0.05944013132657399	0.041360121551596934	0.04205472369885496	0.04343370211248232	0.012942491105330228	0.07445938709241902	0.0444685723554642	0.05528494534966569	0.03330192818457984	0.06936381791617043	0.029008001392220713	0.02664807918401676	0.01882550544069539	0.07541126046950553	0.03013810236168194	0.06665322448467396
K00020	0.07749452593547204	0.0684240789044989	0.11773413710605347	0.09213839321966477	0.08529511604222138	0.08728872437759967	0.16774967099050078	0.15042926135880136	0.1335094913257457	0.1229418550917548	0.08682280888703145	0.06191517718020938	0.04461874993131672	0.18113641138719025	0.1549774147250087	0.3327016254532241	0.13565337413822579	0.15775687398275126
K00021	0.005318666633259465	0.02304905619860816	0.009001797919899742	0.0	0.013034504484877371	0.007130619656451527	0.004993946387279732	0.0	0.0	0.00442346853560679	0.003614827187518997	0.009064471663520902	0.0	0.007882772387896498	0.004667252517359821	0.0	0.0	0.0
K00022	0.003011687365078024	0.022899234027343833	0.0	0.0029790853301507408	0.0036422725946727995	0.0	0.0	0.006563879924173485	0.0	0.0	0.0	0.0	0.006093268648327916	0.008997780081119887	0.005298227711968666	0.0	0.010451593232853738	0.0
K00023	0.007138674983907753	0.021936640377463415	0.0	0.013811294811491782	0.00836203100786304	0.004842578945183568	0.006456156104735672	0.00745158274363734	0.011132890956091844	0.0055065018623972044	0.014234479592503966	0.004082685857810609	0.004808586222986041	0.0	0.006277825266387701	0.0	0.0	0.007338093374193861
K00024	0.15361046202351353	0.3418967606017689	0.23733867253345195	0.15101607876895512	0.23954124689251285	0.1798367512022382	0.2069321029438528	0.20363219834219368	0.2824716216254238	0.24787435326701052	0.19998715262489142	0.16950178465645324	0.15124526153463394	0.19612047056102572	0.2551996696646123	0.33043033980988246	0.3012087190753004	0.29652965477925136
K00025	0.01807010332465944	0.0	0.04055792845098435	0.017874492016654576	0.032780390213886304	0.01623278474605584	0.005588514067817077	0.006563879924173485	0.004893636680024593	0.029307380780480476	0.028498120296868407	0.020614123049063526	0.006093268648327916	0.02699333073112965	0.026491088381435296	0.01311784176406697	0.015677337993199075	0.01910120007849303
K00026	0.06324541380082978	0.0	0.08111596096256206	0.0655397375135672	0.0764876823960162	0.07304763540956172	0.06147370737893851	0.059074919317561356	0.09297907642561991	0.08303768577295008	0.07735204080578567	0.041228348354272096	0.044683970087738056	0.06748337438897421	0.0953679783872567	0.14429625940473667	0.07838689739032151	0.06367053493760362
K00027	0.7250950870170053	0.4185639406542206	0.616067941195642	0.5503894233227751	0.6688305045063164	0.6245657614042003	0.7336046772664512	0.7064118718222103	0.6346907408758128	0.602124040923788	0.5962552396240743	0.7151205194828555	0.690711143698291	0.528752728127233	0.7320813940321254	0.8082785523177802	0.7291826696393273	0.683397942613853
K00028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004498894796674952	0.0	0.0	0.0	0.0
K00029	0.14956235180089675	0.38925090568081916	0.22111341155435507	0.17214287571233367	0.26985747448161174	0.18561213520899966	0.15092117700142232	0.23482115635129508	0.22939530359973487	0.2648802680374035	0.22164862593532192	0.17730757547862397	0.1253944692116385	0.2019373346712451	0.2445268619676885	0.25435230380549706	0.21549317408459978	0.28287187271408676
K00030	0.07718275653453448	0.023404525030944704	0.04009215686717784	0.09404604391222517	0.10383610245408223	0.07608492926014543	0.07152313173166647	0.09726082821526585	0.13054774496981955	0.06751470235242289	0.056096552459849396	0.04055374689406796	0.08192914009956222	0.10167239627922904	0.08340647178003158	0.1293141655723851	0.09765956849672756	0.15612209001963392
K00031	0.43716665634310553	0.6322577038451798	0.39152660001231104	0.39513457251908435	0.43890146687803105	0.45890857088048953	0.5100837546927345	0.5115480643579496	0.36230740957313096	0.44447921703053883	0.4059236991377314	0.5111880890224142	0.44154496380305314	0.44447231766030604	0.39035622268383124	0.5462855476968302	0.41913357580495364	0.4850724744316949
K00032	0.006023374730156048	0.0	0.0	0.0029790853301507408	0.0036422725946727995	0.0	0.011177028135634154	0.0	0.0	0.0	0.0	0.003435693991920258	0.0	0.0	0.0	0.0	0.0	0.0
K00033	0.10084512738834221	0.09677713722578365	0.11996322676950152	0.09839245998674206	0.07792292542919664	0.11883060932741576	0.11782588702352541	0.2315164013708829	0.12092933660998602	0.11935521220187258	0.08516154199849181	0.09367970413312364	0.08003672851875387	0.12983318955938228	0.07476603571446726	0.38137565341843016	0.16991750176336695	0.13768117297601376
K00034	0.02693569289037524	0.0	0.005702045895617237	0.016371244628468735	0.027842790387253666	0.023307101571177102	0.03677047762929068	0.028483949751997816	0.021263005416113125	0.005444632969896859	0.004530037122256947	0.02300811409588937	0.021796441479796168	0.021071124407200936	0.02364453350392439	0.028739896985402306	0.017681298694106267	0.027876946403517632
