KOID	P01	P07	P11	S07	S29	S34	W31	W32	W33	P03	P09	P12	S05	S08	S32	W20	W36	W37
K14206	5.77344E-06	2.7468E-05	4.87192E-06	2.98442E-06	6.92248E-06	7.80031E-06	5.30895E-06	5.8372E-06	4.77548E-06	4.56951E-06	0	0	2.0802E-06	0	1.05588E-05	1.0291E-05	1.00775E-05	1.28636E-05
K14207	0	0	0	2.98442E-06	3.46124E-06	0	5.30895E-06	0	0	0	0	0	0	0	0	0	0	0
K14208	1.15469E-05	0	4.87192E-06	2.98442E-06	1.3845E-05	1.56006E-05	5.30895E-06	5.8372E-06	2.86529E-05	4.56951E-06	4.1606E-06	6.71978E-06	1.0401E-05	1.41888E-05	1.05588E-05	0	5.03875E-06	3.21591E-05
K14210	1.44336E-05	0	9.74383E-06	2.38753E-05	3.46124E-06	7.80031E-06	1.59269E-05	1.75116E-05	1.91019E-05	2.28475E-05	2.0803E-05	0	1.24812E-05	9.45917E-06	1.58382E-05	6.17462E-05	3.02325E-05	6.43182E-06
K14213	4.90742E-05	2.7468E-05	0.000121798	5.67039E-05	6.92248E-05	5.46022E-05	5.30895E-05	4.08604E-05	8.11832E-05	5.94036E-05	6.65696E-05	6.0478E-05	3.1203E-05	5.20254E-05	7.91908E-05	0.00010291	5.54262E-05	5.14546E-05
K14215	2.88672E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K14217	0	0	0	0	0	0	0	0	4.77548E-06	0	0	0	0	4.72959E-06	0	0	0	0
K14258	2.88672E-06	0	4.87192E-06	2.98442E-06	3.46124E-06	0	0	0	0	0	4.1606E-06	3.35989E-06	4.1604E-06	9.45917E-06	0	0	0	6.43182E-06
K14260	0.000132789	0.000164808	0.000160773	0.000223831	0.000190368	0.000132605	0.00015396	0.000227651	0.000138489	0.000173641	0.000158103	0.000127676	0.000160175	0.000141888	0.000190058	0.000113201	0.00012093	0.0001415
K14261	7.2168E-05	2.7468E-05	0.000116926	0.000113408	7.61472E-05	5.85023E-05	0.00010087	0.00010507	0.000100285	7.31121E-05	8.73726E-05	5.37582E-05	7.48872E-05	5.6755E-05	8.44702E-05	7.20372E-05	8.062E-05	7.71818E-05
