A	B	C	D
09100	09101	00010	K00844
09100	09101	00010	K12407
09100	09101	00010	K00845
09100	09101	00010	K25026
09100	09101	00010	K01810
09100	09101	00010	K06859
09100	09101	00010	K13810
09100	09101	00010	K15916
09100	09101	00010	K24182
09100	09101	00010	K00850
09100	09101	00010	K16370
09100	09101	00010	K21071
09100	09101	00010	K00918
09100	09101	00010	K00895
09100	09101	00010	K03841
09100	09101	00010	K02446
09100	09101	00010	K11532
09100	09101	00010	K01086
09100	09101	00010	K04041
09100	09101	00010	K01623
09100	09101	00010	K11645
09100	09101	00010	K01624
09100	09101	00010	K01622
09100	09101	00010	K16305
09100	09101	00010	K16306
09100	09101	00010	K01803
09100	09101	00010	K00134
09100	09101	00010	K10705
09100	09101	00010	K00150
09100	09101	00010	K00927
09100	09101	00010	K01834
09100	09101	00010	K15634
09100	09101	00010	K15633
09100	09101	00010	K15635
09100	09101	00010	K01689
09100	09101	00010	K00873
09100	09101	00010	K12406
09100	09101	00010	K01006
09100	09101	00010	K01007
09100	09101	00010	K00163
09100	09101	00010	K00161
09100	09101	00010	K00162
09100	09101	00010	K00627
09100	09101	00010	K00382
09100	09101	00010	K13997
09100	09101	00010	K00169
09100	09101	00010	K00170
09100	09101	00010	K00172
09100	09101	00010	K00189
09100	09101	00010	K00171
09100	09101	00010	K03737
09100	09101	00010	K00174
09100	09101	00010	K00175
09100	09101	00010	K00016
09100	09101	00010	K01568
09100	09101	00010	K13951
09100	09101	00010	K13980
09100	09101	00010	K00121
09100	09101	00010	K13952
09100	09101	00010	K04072
09100	09101	00010	K13953
09100	09101	00010	K13954
09100	09101	00010	K18857
09100	09101	00010	K00001
09100	09101	00010	K00002
09100	09101	00010	K12957
09100	09101	00010	K13979
09100	09101	00010	K14028
09100	09101	00010	K14029
09100	09101	00010	K00114
09100	09101	00010	K04022
09100	09101	00010	K22473
09100	09101	00010	K22474
09100	09101	00010	K00128
09100	09101	00010	K14085
09100	09101	00010	K00149
09100	09101	00010	K00129
09100	09101	00010	K00138
09100	09101	00010	K01895
09100	09101	00010	K01913
09100	09101	00010	K01905
09100	09101	00010	K22224
09100	09101	00010	K24012
09100	09101	00010	K01785
09100	09101	00010	K01085
09100	09101	00010	K20866
09100	09101	00010	K01835
09100	09101	00010	K15778
09100	09101	00010	K15779
09100	09101	00010	K01084
09100	09101	00010	K00886
09100	09101	00010	K08074
09100	09101	00010	K01792
09100	09101	00010	K01837
09100	09101	00010	K03103
09100	09101	00010	K11389
09100	09101	00010	K00131
09100	09101	00010	K18978
09100	09101	00010	K01596
09100	09101	00010	K01610
09100	09101	00010	K01222
09100	09101	00010	K01223
09100	09101	00010	K02777
09100	09101	00010	K02779
09100	09101	00010	K02791
09100	09101	00010	K20118
09100	09101	00010	K02753
09100	09101	00020	K01647
09100	09101	00020	K01648
09100	09101	00020	K15230
09100	09101	00020	K15231
09100	09101	00020	K05942
09100	09101	00020	K01681
09100	09101	00020	K01682
09100	09101	00020	K00031
09100	09101	00020	K00030
09100	09101	00020	K17753
09100	09101	00020	K00164
09100	09101	00020	K00658
09100	09101	00020	K01616
09100	09101	00020	K00382
09100	09101	00020	K00174
09100	09101	00020	K00175
09100	09101	00020	K00177
09100	09101	00020	K00176
09100	09101	00020	K01902
09100	09101	00020	K01903
09100	09101	00020	K01899
09100	09101	00020	K01900
09100	09101	00020	K18118
09100	09101	00020	K00234
09100	09101	00020	K00235
09100	09101	00020	K00236
09100	09101	00020	K00237
09100	09101	00020	K25801
09100	09101	00020	K00239
09100	09101	00020	K00240
09100	09101	00020	K00241
09100	09101	00020	K00242
09100	09101	00020	K18859
09100	09101	00020	K18860
09100	09101	00020	K00244
09100	09101	00020	K00245
09100	09101	00020	K00246
09100	09101	00020	K00247
09100	09101	00020	K01676
09100	09101	00020	K01677
09100	09101	00020	K01678
09100	09101	00020	K01679
09100	09101	00020	K01675
09100	09101	00020	K01774
09100	09101	00020	K00025
09100	09101	00020	K00026
09100	09101	00020	K00024
09100	09101	00020	K00116
09100	09101	00020	K01958
09100	09101	00020	K01959
09100	09101	00020	K01960
09100	09101	00020	K01610
09100	09101	00020	K01596
09100	09101	00020	K00163
09100	09101	00020	K00161
09100	09101	00020	K00162
09100	09101	00020	K00627
09100	09101	00020	K13997
09100	09101	00020	K00169
09100	09101	00020	K00170
09100	09101	00020	K00172
09100	09101	00020	K00189
09100	09101	00020	K00171
09100	09101	00020	K03737
09100	09101	00030	K01810
09100	09101	00030	K06859
09100	09101	00030	K13810
09100	09101	00030	K15916
09100	09101	00030	K00036
09100	09101	00030	K19243
09100	09101	00030	K01057
09100	09101	00030	K07404
09100	09101	00030	K13937
09100	09101	00030	K00033
09100	09101	00030	K01783
09100	09101	00030	K00615
09100	09101	00030	K00616
09100	09101	00030	K01807
09100	09101	00030	K01808
09100	09101	00030	K13812
09100	09101	00030	K08093
09100	09101	00030	K08094
09100	09101	00030	K13831
09100	09101	00030	K01621
09100	09101	00030	K01619
09100	09101	00030	K00852
09100	09101	00030	K01839
09100	09101	00030	K22199
09100	09101	00030	K01835
09100	09101	00030	K15778
09100	09101	00030	K15779
09100	09101	00030	K05774
09100	09101	00030	K00948
09100	09101	00030	K01690
09100	09101	00030	K01625
09100	09101	00030	K17463
09100	09101	00030	K11395
09100	09101	00030	K00131
09100	09101	00030	K18978
09100	09101	00030	K00034
09100	09101	00030	K22969
09100	09101	00030	K21840
09100	09101	00030	K18124
09100	09101	00030	K18125
09100	09101	00030	K00115
09100	09101	00030	K19813
09100	09101	00030	K00117
09100	09101	00030	K01053
09100	09101	00030	K06151
09100	09101	00030	K06152
09100	09101	00030	K00090
09100	09101	00030	K22229
09100	09101	00030	K11441
09100	09101	00030	K00032
09100	09101	00030	K00851
09100	09101	00030	K25031
09100	09101	00030	K05308
09100	09101	00030	K00874
09100	09101	00030	K18126
09100	09101	00030	K18127
09100	09101	00030	K03738
09100	09101	00030	K18020
09100	09101	00030	K18021
09100	09101	00030	K18022
09100	09101	00030	K18128
09100	09101	00030	K11529
09100	09101	00030	K22345
09100	09101	00030	K17464
09100	09101	00030	K17465
09100	09101	00030	K17466
09100	09101	00030	K17467
09100	09101	00030	K17468
09100	09101	00030	K01623
09100	09101	00030	K11645
09100	09101	00030	K01624
09100	09101	00030	K01622
09100	09101	00030	K16305
09100	09101	00030	K16306
09100	09101	00030	K03841
09100	09101	00030	K02446
09100	09101	00030	K11532
09100	09101	00030	K01086
09100	09101	00030	K04041
09100	09101	00030	K24182
09100	09101	00030	K00850
09100	09101	00030	K16370
09100	09101	00030	K21071
09100	09101	00030	K00918
09100	09101	00030	K00895
09100	09101	00040	K01051
09100	09101	00040	K22539
09100	09101	00040	K01728
09100	09101	00040	K19551
09100	09101	00040	K01731
09100	09101	00040	K22994
09100	09101	00040	K01730
09100	09101	00040	K01815
09100	09101	00040	K00065
09100	09101	00040	K01184
09100	09101	00040	K01213
09100	09101	00040	K22933
09100	09101	00040	K01812
09100	09101	00040	K00041
09100	09101	00040	K01685
09100	09101	00040	K16849
09100	09101	00040	K16850
09100	09101	00040	K01686
09100	09101	00040	K08323
09100	09101	00040	K08322
09100	09101	00040	K00040
09100	09101	00040	K21619
09100	09101	00040	K18106
09100	09101	00040	K19634
09100	09101	00040	K18102
09100	09101	00040	K18103
09100	09101	00040	K18107
09100	09101	00040	K01195
09100	09101	00040	K14756
09100	09101	00040	K00699
09100	09101	00040	K16190
09100	09101	00040	K12447
09100	09101	00040	K00012
09100	09101	00040	K00963
09100	09101	00040	K00002
09100	09101	00040	K13247
09100	09101	00040	K08092
09100	09101	00040	K00880
09100	09101	00040	K03078
09100	09101	00040	K03079
09100	09101	00040	K03077
09100	09101	00040	K01783
09100	09101	00040	K01804
09100	09101	00040	K00853
09100	09101	00040	K24707
09100	09101	00040	K00854
09100	09101	00040	K01805
09100	09101	00040	K00011
09100	09101	00040	K00594
09100	09101	00040	K17743
09100	09101	00040	K03331
09100	09101	00040	K01820
09100	09101	00040	K00848
09100	09101	00040	K01629
09100	09101	00040	K17738
09100	09101	00040	K17818
09100	09101	00040	K00007
09100	09101	00040	K09988
09100	09101	00040	K05351
09100	09101	00040	K00008
09100	09101	00040	K22185
09100	09101	00040	K00078
09100	09101	00040	K14273
09100	09101	00040	K14274
09100	09101	00040	K24442
09100	09101	00040	K24443
09100	09101	00040	K14275
09100	09101	00040	K22186
09100	09101	00040	K22396
09100	09101	00040	K22397
09100	09101	00040	K14259
09100	09101	00040	K13877
09100	09101	00040	K19588
09100	09101	00040	K22187
09100	09101	00040	K00875
09100	09101	00040	K22935
09100	09101	00040	K00039
09100	09101	00040	K21680
09100	09101	00040	K05352
09100	09101	00040	K21681
09100	09101	00040	K21030
09100	09101	00040	K21031
09100	09101	00040	K01818
09100	09101	00040	K00879
09100	09101	00040	K01628
09100	09101	00051	K01218
09100	09101	00051	K19355
09100	09101	00051	K00847
09100	09101	00051	K01809
09100	09101	00051	K15916
09100	09101	00051	K16011
09100	09101	00051	K17497
09100	09101	00051	K01840
09100	09101	00051	K15778
09100	09101	00051	K16881
09100	09101	00051	K00971
09100	09101	00051	K00966
09100	09101	00051	K01711
09100	09101	00051	K02377
09100	09101	00051	K00976
09100	09101	00051	K18447
09100	09101	00051	K05305
09100	09101	00051	K01818
09100	09101	00051	K00879
09100	09101	00051	K01628
09100	09101	00051	K00064
09100	09101	00051	K18333
09100	09101	00051	K07046
09100	09101	00051	K18334
09100	09101	00051	K18335
09100	09101	00051	K18336
09100	09101	00051	K18337
09100	09101	00051	K18338
09100	09101	00051	K12661
09100	09101	00051	K18339
09100	09101	00051	K12660
09100	09101	00051	K01813
09100	09101	00051	K21883
09100	09101	00051	K01820
09100	09101	00051	K00848
09100	09101	00051	K01629
09100	09101	00051	K05947
09100	09101	00051	K07026
09100	09101	00051	K18818
09100	09101	00051	K00844
09100	09101	00051	K24182
09100	09101	00051	K00850
09100	09101	00051	K16370
09100	09101	00051	K21071
09100	09101	00051	K00895
09100	09101	00051	K03841
09100	09101	00051	K02446
09100	09101	00051	K11532
09100	09101	00051	K01086
09100	09101	00051	K04041
09100	09101	00051	K19028
09100	09101	00051	K19029
09100	09101	00051	K01103
09100	09101	00051	K19030
09100	09101	00051	K00900
09100	09101	00051	K14634
09100	09101	00051	K00009
09100	09101	00051	K00068
09100	09101	00051	K19956
09100	09101	00051	K00846
09100	09101	00051	K00882
09100	09101	00051	K00008
09100	09101	00051	K00011
09100	09101	00051	K00594
09100	09101	00051	K01805
09100	09101	00051	K08261
09100	09101	00051	K17742
09100	09101	00051	K19633
09100	09101	00051	K00045
09100	09101	00051	K00007
09100	09101	00051	K00066
09100	09101	00051	K19290
09100	09101	00051	K19291
09100	09101	00051	K01795
09100	09101	00051	K01729
09100	09101	00051	K01623
09100	09101	00051	K11645
09100	09101	00051	K01624
09100	09101	00051	K01622
09100	09101	00051	K16305
09100	09101	00051	K16306
09100	09101	00051	K01803
09100	09101	00051	K00863
09100	09101	00051	K03332
09100	09101	00051	K22252
09100	09101	00051	K15856
09100	09101	00051	K00881
09100	09101	00051	K01808
09100	09101	00051	K17195
09100	09101	00051	K02768
09100	09101	00051	K02769
09100	09101	00051	K02770
09100	09101	00051	K11194
09100	09101	00051	K11195
09100	09101	00051	K11196
09100	09101	00051	K02771
09100	09101	00051	K02793
09100	09101	00051	K02794
09100	09101	00051	K02795
09100	09101	00051	K02796
09100	09101	00051	K02798
09100	09101	00051	K02800
09100	09101	00051	K19270
09100	09101	00051	K24204
09100	09101	00051	K02781
09100	09101	00051	K02782
09100	09101	00051	K02783
09100	09101	00051	K02812
09100	09101	00051	K02813
09100	09101	00051	K02814
09100	09101	00051	K02815
09100	09101	00052	K01785
09100	09101	00052	K00849
09100	09101	00052	K00965
09100	09101	00052	K01784
09100	09101	00052	K17716
09100	09101	00052	K00963
