KOID	S07	S29	S34	S05	S08	S32
K00901	9.0	9.0	8.0	19.0	7.0	7.0
K00903	201.0	165.0	95.0	200.0	121.0	95.0
K00907	0.0	0.0	0.0	0.0	1.0	2.0
K00908	1.0	0.0	0.0	0.0	2.0	0.0
K00912	101.0	87.0	56.0	90.0	54.0	42.0
K00914	1.0	1.0	0.0	0.0	2.0	1.0
K00915	0.0	0.0	0.0	0.0	1.0	0.0
K00916	0.0	1.0	0.0	0.0	2.0	0.0
K00917	6.0	6.0	4.0	8.0	5.0	6.0
K00918	8.0	4.0	2.0	6.0	4.0	3.0
K00919	211.0	188.0	145.0	311.0	139.0	116.0
K00921	1.0	1.0	1.0	0.0	2.0	1.0
K00922	2.0	10.0	5.0	1.0	8.0	6.0
K00923	1.0	0.0	0.0	0.0	0.0	0.0
K00924	1.0	0.0	0.0	0.0	1.0	1.0
K00925	382.0	300.0	270.0	556.0	261.0	192.0
K00926	105.0	113.0	110.0	205.0	88.0	73.0
K00927	415.0	330.0	320.0	581.0	273.0	221.0
K00928	393.0	305.0	284.0	573.0	260.0	220.0
K00929	115.0	126.0	89.0	162.0	75.0	94.0
K00930	216.0	158.0	167.0	281.0	132.0	109.0
K00931	170.0	146.0	147.0	271.0	115.0	111.0
K00936	4.0	6.0	9.0	11.0	2.0	3.0
K00937	213.0	166.0	200.0	360.0	154.0	126.0
K00938	2.0	2.0	2.0	2.0	2.0	1.0
K00939	287.0	242.0	198.0	398.0	204.0	164.0
K00940	93.0	78.0	45.0	73.0	50.0	40.0
K00941	149.0	136.0	120.0	211.0	108.0	95.0
K00942	232.0	213.0	184.0	331.0	160.0	134.0
K00943	104.0	87.0	74.0	135.0	67.0	43.0
K00944	0.0	1.0	0.0	2.0	2.0	0.0
K00945	251.0	203.0	176.0	357.0	176.0	120.0
K00946	89.0	110.0	60.0	95.0	72.0	65.0
K00948	355.0	283.0	258.0	508.0	238.0	210.0
K00949	92.0	73.0	55.0	126.0	57.0	49.0
K00950	89.0	70.0	57.0	91.0	52.0	54.0
K00951	8.0	11.0	10.0	26.0	23.0	11.0
K00953	1.0	0.0	0.0	0.0	0.0	0.0
K00954	208.0	179.0	149.0	300.0	130.0	117.0
K00955	16.0	17.0	24.0	40.0	15.0	19.0
K00956	9.0	7.0	12.0	22.0	6.0	3.0
K00957	25.0	22.0	32.0	57.0	27.0	20.0
K00958	0.0	6.0	7.0	8.0	1.0	3.0
K00962	524.0	419.0	408.0	816.0	365.0	309.0
K00963	62.0	47.0	54.0	119.0	52.0	43.0
K00965	188.0	160.0	192.0	303.0	101.0	117.0
K00966	82.0	87.0	60.0	118.0	54.0	56.0
K00967	4.0	4.0	9.0	14.0	4.0	6.0
K00969	165.0	135.0	109.0	204.0	87.0	82.0
K00970	207.0	187.0	169.0	305.0	139.0	125.0
K00971	121.0	129.0	95.0	179.0	91.0	85.0
K00972	58.0	23.0	20.0	81.0	17.0	14.0
K00973	396.0	356.0	300.0	531.0	247.0	217.0
K00974	104.0	71.0	53.0	127.0	59.0	43.0
K00975	467.0	331.0	372.0	692.0	288.0	262.0
K00976	3.0	0.0	0.0	5.0	0.0	0.0
K00978	121.0	114.0	197.0	219.0	64.0	61.0
K00979	125.0	107.0	77.0	113.0	77.0	64.0
K00980	119.0	94.0	99.0	168.0	73.0	87.0
K00981	226.0	186.0	148.0	290.0	138.0	109.0
K00982	2.0	3.0	2.0	2.0	3.0	2.0
