KOID	S07	S29	S34	S05	S08	S32
K00179	203.0	159.0	147.0	293.0	140.0	107.0
K00180	87.0	81.0	61.0	120.0	54.0	40.0
K00184	4.0	2.0	3.0	9.0	2.0	3.0
K00185	1.0	1.0	1.0	1.0	2.0	0.0
K00186	2.0	5.0	1.0	2.0	3.0	1.0
K00187	4.0	2.0	2.0	1.0	3.0	6.0
K00188	0.0	3.0	1.0	1.0	0.0	0.0
K00189	20.0	16.0	10.0	19.0	10.0	8.0
K00193	51.0	40.0	61.0	81.0	33.0	23.0
K00194	16.0	9.0	7.0	14.0	2.0	1.0
K00196	23.0	13.0	13.0	29.0	10.0	7.0
K00197	21.0	20.0	15.0	26.0	10.0	8.0
K00198	51.0	40.0	31.0	60.0	15.0	22.0
K00200	1.0	0.0	0.0	0.0	0.0	0.0
K00205	7.0	10.0	4.0	19.0	8.0	6.0
K00207	7.0	11.0	6.0	0.0	8.0	7.0
K00208	86.0	55.0	43.0	77.0	43.0	36.0
K00209	9.0	6.0	11.0	27.0	5.0	11.0
K00214	0.0	0.0	1.0	0.0	0.0	0.0
K00215	215.0	177.0	173.0	315.0	121.0	115.0
K00216	2.0	2.0	1.0	6.0	0.0	0.0
K00218	0.0	0.0	0.0	0.0	0.0	1.0
K00219	22.0	42.0	20.0	35.0	29.0	9.0
K00220	7.0	4.0	4.0	5.0	6.0	2.0
K00224	0.0	1.0	0.0	0.0	1.0	0.0
K00226	19.0	26.0	19.0	25.0	14.0	17.0
K00230	1.0	1.0	1.0	1.0	0.0	0.0
K00231	2.0	4.0	1.0	3.0	2.0	2.0
K00234	3.0	6.0	0.0	5.0	6.0	2.0
K00235	0.0	0.0	0.0	1.0	0.0	0.0
K00239	99.0	119.0	75.0	130.0	85.0	68.0
K00240	40.0	46.0	29.0	56.0	31.0	30.0
K00241	4.0	2.0	4.0	4.0	1.0	3.0
K00243	96.0	90.0	64.0	134.0	76.0	74.0
K00244	101.0	70.0	53.0	131.0	63.0	68.0
K00245	1.0	3.0	2.0	2.0	3.0	4.0
K00246	0.0	1.0	1.0	1.0	0.0	1.0
K00248	256.0	213.0	241.0	373.0	191.0	151.0
K00249	20.0	22.0	18.0	23.0	19.0	13.0
K00251	2.0	3.0	3.0	5.0	0.0	2.0
K00252	4.0	2.0	1.0	6.0	3.0	3.0
K00253	14.0	5.0	10.0	14.0	1.0	1.0
K00254	18.0	20.0	17.0	20.0	14.0	19.0
K00255	0.0	0.0	1.0	1.0	0.0	1.0
K00259	77.0	92.0	57.0	119.0	72.0	72.0
K00260	7.0	4.0	3.0	4.0	2.0	7.0
K00261	10.0	8.0	4.0	10.0	3.0	8.0
K00262	421.0	403.0	426.0	624.0	293.0	278.0
K00264	9.0	7.0	4.0	10.0	5.0	4.0
K00265	360.0	246.0	285.0	547.0	233.0	180.0
K00266	634.0	533.0	485.0	934.0	425.0	355.0
K00275	6.0	2.0	3.0	7.0	1.0	4.0
K00278	180.0	171.0	111.0	211.0	126.0	105.0
K00281	93.0	97.0	76.0	127.0	77.0	85.0
K00282	57.0	60.0	44.0	71.0	41.0	39.0
K00283	89.0	89.0	57.0	124.0	71.0	58.0
K00284	9.0	11.0	11.0	22.0	12.0	7.0
K00285	1.0	0.0	0.0	1.0	0.0	0.0
K00286	200.0	150.0	146.0	285.0	122.0	110.0
K00287	146.0	132.0	99.0	188.0	101.0	78.0
K00288	6.0	5.0	7.0	11.0	3.0	7.0
K00289	3.0	3.0	2.0	4.0	2.0	2.0
K00290	98.0	119.0	78.0	173.0	88.0	74.0
K00294	16.0	9.0	15.0	23.0	5.0	6.0
K00297	158.0	133.0	134.0	232.0	102.0	85.0
K00298	0.0	0.0	0.0	1.0	0.0	0.0
K00302	42.0	30.0	20.0	37.0	14.0	18.0
K00303	11.0	6.0	7.0	8.0	3.0	3.0
K00311	0.0	1.0	0.0	0.0	0.0	0.0
K00313	19.0	17.0	14.0	23.0	9.0	11.0
K00314	3.0	0.0	1.0	3.0	1.0	1.0
K00315	1.0	0.0	0.0	2.0	0.0	0.0
K00318	2.0	2.0	2.0	2.0	1.0	1.0
K00322	1.0	2.0	0.0	0.0	2.0	1.0
K00324	25.0	11.0	8.0	14.0	12.0	9.0
K00325	16.0	10.0	6.0	17.0	12.0	4.0
K00326	3.0	3.0	0.0	1.0	0.0	0.0
K00330	39.0	39.0	25.0	43.0	34.0	25.0
K00331	63.0	58.0	38.0	66.0	45.0	33.0
K00332	5.0	4.0	3.0	5.0	3.0	3.0
K00333	37.0	42.0	23.0	47.0	37.0	31.0
K00334	53.0	39.0	34.0	63.0	26.0	24.0
K00335	82.0	58.0	63.0	146.0	47.0	51.0
K00336	25.0	17.0	18.0	36.0	14.0	16.0
K00337	61.0	64.0	33.0	67.0	53.0	40.0
K00338	25.0	16.0	17.0	21.0	11.0	12.0
K00339	23.0	25.0	13.0	30.0	18.0	15.0
K00340	14.0	11.0	7.0	9.0	9.0	6.0
K00341	68.0	95.0	46.0	95.0	69.0	50.0
K00342	88.0	102.0	52.0	109.0	70.0	50.0
K00343	82.0	76.0	46.0	109.0	64.0	48.0
K00344	4.0	1.0	0.0	2.0	2.0	0.0
K00346	56.0	78.0	40.0	68.0	42.0	46.0
K00347	98.0	122.0	89.0	164.0	104.0	80.0
K00348	53.0	60.0	32.0	59.0	40.0	37.0
K00349	66.0	75.0	44.0	89.0	56.0	47.0
K00350	56.0	66.0	42.0	74.0	49.0	47.0
K00351	76.0	101.0	51.0	101.0	69.0	71.0
K00354	40.0	35.0	32.0	69.0	34.0	26.0
K00355	6.0	4.0	5.0	6.0	8.0	2.0
K00362	26.0	19.0	20.0	51.0	18.0	14.0
K00364	5.0	5.0	2.0	5.0	7.0	3.0
K00366	57.0	47.0	49.0	68.0	33.0	44.0
K00367	4.0	1.0	1.0	5.0	3.0	0.0
K00370	2.0	5.0	3.0	2.0	6.0	5.0
K00371	2.0	2.0	1.0	4.0	3.0	1.0
K00372	2.0	1.0	5.0	2.0	3.0	2.0
K00373	2.0	1.0	1.0	2.0	2.0	1.0
K00374	2.0	1.0	1.0	2.0	1.0	0.0
K00375	142.0	99.0	123.0	266.0	95.0	83.0
K00376	0.0	0.0	0.0	2.0	0.0	0.0
K00380	5.0	1.0	6.0	3.0	3.0	2.0
K00382	180.0	186.0	144.0	238.0	140.0	135.0
K00383	2.0	0.0	1.0	3.0	0.0	0.0
K00384	361.0	282.0	264.0	482.0	234.0	199.0
K00385	9.0	12.0	17.0	24.0	9.0	10.0
K00390	50.0	54.0	53.0	75.0	28.0	27.0
K00394	11.0	10.0	9.0	3.0	7.0	4.0
K00395	0.0	2.0	0.0	1.0	0.0	0.0
K00400	1.0	1.0	0.0	1.0	1.0	0.0
K00404	0.0	2.0	1.0	2.0	0.0	1.0
K00405	0.0	1.0	1.0	1.0	0.0	1.0
K00406	0.0	1.0	1.0	1.0	0.0	2.0
K00411	0.0	0.0	1.0	0.0	0.0	1.0
K00412	1.0	2.0	1.0	3.0	0.0	2.0
K00413	0.0	1.0	1.0	0.0	0.0	1.0
K00425	84.0	110.0	66.0	110.0	77.0	87.0
K00426	22.0	24.0	13.0	24.0	24.0	15.0
K00428	10.0	6.0	7.0	9.0	3.0	5.0
K00432	14.0	7.0	9.0	12.0	4.0	6.0
K00433	2.0	5.0	2.0	6.0	2.0	4.0
K00441	2.0	7.0	6.0	6.0	3.0	3.0
